Date,USDTRY,Return_1D,Return_5D,Volatility_5D,Volatility_20D,Volatility_60D,MA_Distance_20D,MA_Slope_20D,Drawdown_60D,Absolute_Return_1D,Return_ZScore_20D,Volatility_Ratio_5D_60D,Drawdown_Change_5D,Score_Return_Z,Score_Volatility_Ratio,Score_Drawdown_Change,Score_Absolute_Return,Baseline_Anomaly_Score,Rule_Return_Z,Rule_Volatility_Ratio,Rule_Drawdown_Change,Rule_Absolute_Return,Rules_Breached,Baseline_Anomaly,Primary_Reason
2023-05-30,20.4955,0.0200521585061166,0.0325761125301653,0.0078325405518723,0.0044028680316284,0.00272149674956,0.0379822866148877,0.0198076077348394,0.0,0.0200521585061166,11.593542165832822,2.878026789169832,0.0,2.8983855414582056,1.439013394584916,0.0,0.501303962652915,2.8983855414582056,True,True,False,False,2,True,LOCAL_RETURN_SHOCK
2021-12-31,13.2844,0.008640456774938,0.2086176465236457,0.0244746895571936,0.0586583722588547,0.0404919448120843,-0.0041974019509918,0.1594390011042157,-0.1951141190085248,0.008640456774938,0.1496008461439752,0.6044335403195908,0.1389301229346791,0.0374002115359938,0.3022167701597954,2.778602458693582,0.21601141937345,2.778602458693582,False,False,True,False,1,True,DRAWDOWN_SHIFT
2019-03-22,5.7627,0.0544353363097416,0.0580167808030549,0.0249014937165445,0.0127868140055803,0.0105950567944255,0.0613234912233204,0.03130929611065,0.0,0.0544353363097416,11.000744435631931,2.350293556675054,0.0062761124591778,2.750186108907983,1.175146778337527,0.125522249183556,1.36088340774354,2.750186108907983,True,True,False,True,3,True,LOCAL_RETURN_SHOCK
2022-03-11,14.7786,-0.0064873513455371,0.0389612215629482,0.0083423866569826,0.0078637226262912,0.0323762116203677,0.0527016857288069,0.0400388049440372,-0.0064873513455371,0.0064873513455371,-1.5033939354198664,0.2576702535430195,0.1316732938040264,0.3758484838549666,0.12883512677150974,2.633465876080528,0.1621837836384275,2.633465876080528,False,False,True,False,1,True,DRAWDOWN_SHIFT
2018-08-17,6.014,0.0320919855843486,-0.0643329443796187,0.0618660817658923,0.0491662720028096,0.030476176577283,0.1141978710928273,0.1449770478727918,-0.1263038614638114,0.0320919855843486,0.4346841057016082,2.0299817337325505,-0.1263038614638114,0.10867102642540205,1.0149908668662753,2.5260772292762277,0.802299639608715,2.5260772292762277,False,True,True,False,2,True,DRAWDOWN_SHIFT
2022-03-14,14.7808,0.000148863897798,0.0269507882358663,0.0085276190057873,0.0079019508094087,0.0214705893042455,0.0484297989045989,0.0438341893719909,-0.0063394531801467,0.000148863897798,-0.5609943634190216,0.3971767558378608,0.1216119788361879,0.1402485908547554,0.1985883779189304,2.432239576723758,0.00372159744495,2.432239576723758,False,False,True,False,1,True,DRAWDOWN_SHIFT
2018-08-15,5.9905,-0.0572674052624953,0.1345643939393939,0.097160505705451,0.0482866131294952,0.0301459427134748,0.1333794971923292,0.1235782606338824,-0.1297178719818694,0.0572674052624953,-1.584332324857634,3.223004389974564,-0.1203184235662675,0.3960830812144085,1.611502194987282,2.40636847132535,1.4316851315623824,2.40636847132535,False,True,True,True,3,True,DRAWDOWN_SHIFT
2018-08-20,6.0808,0.011107416029265,-0.1165993549699276,0.045522124147113,0.0488545927687897,0.0302085345832083,0.1127478877956034,0.1584845301706456,-0.1165993549699276,0.011107416029265,-0.0286813826642138,1.506929242851022,-0.1165993549699276,0.00717034566605345,0.753464621425511,2.331987099398552,0.277685400731625,2.331987099398552,False,False,True,False,1,True,DRAWDOWN_SHIFT
2021-12-30,13.1706,0.0396747710767289,0.1665928537263725,0.037078443021907,0.0586296820580699,0.0404922086007653,-0.0143415379238579,0.1821252046919692,-0.2020091246735778,0.0396747710767289,0.6931799906619666,0.9156932729326652,0.1139554187595048,0.17329499766549164,0.4578466364663326,2.279108375190096,0.9918692769182225,2.279108375190096,False,False,True,False,1,True,DRAWDOWN_SHIFT
2021-12-27,11.567,0.0523682151500264,-0.1391679690407085,0.0499228960221556,0.0580802163768853,0.0393330322486776,-0.143958159262118,0.2608236201421017,-0.2991693275248868,0.0523682151500264,0.9861104928732746,1.2692358856679309,-0.1133010596981465,0.24652762321831864,0.6346179428339654,2.2660211939629296,1.30920537875066,2.2660211939629296,False,False,True,True,2,True,DRAWDOWN_SHIFT
2022-03-15,14.7037,-0.0052162264559427,0.014020302888196,0.0095676134507396,0.0081527080670549,0.0195961812843975,0.0389229574579783,0.047581791265729,-0.011522611612695,0.0052162264559427,-1.1942185125732414,0.4882386681305782,0.1099155241910456,0.29855462814331035,0.2441193340652891,2.198310483820912,0.1304056613985675,2.198310483820912,False,False,True,False,1,True,DRAWDOWN_SHIFT
2020-11-09,8.0525,-0.0547932341859072,-0.0459123222748814,0.0262441531187793,0.0148141714263684,0.0096830592716544,-0.0093559121860602,0.0532818562836618,-0.0547932341859072,0.0547932341859072,-8.664574080714766,2.710316273246911,-0.0547932341859072,2.1661435201786916,1.3551581366234555,1.095864683718144,1.36983085464768,2.1661435201786916,True,True,True,True,4,True,LOCAL_RETURN_SHOCK
2021-03-22,7.7886,0.0797853904701169,0.0339718825918993,0.0415062682009733,0.0225167529809325,0.0142944220391006,0.0459108479376475,0.0465638239338785,0.0,0.0797853904701169,5.497349061485446,2.9036688638014256,0.0274614609962041,1.3743372653713615,1.4518344319007128,0.5492292199240819,1.9946347617529225,1.9946347617529225,True,True,False,True,3,True,LARGE_ABSOLUTE_RETURN
2020-11-13,7.6804,-0.0010924981791696,-0.0984705316164473,0.0286869697905605,0.0184330740704641,0.0114988981648963,-0.0529354389625249,0.0400385252177299,-0.0984705316164473,0.0010924981791696,0.016296948969788,2.49475813936119,-0.0984705316164473,0.004074237242447,1.247379069680595,1.9694106323289458,0.027312454479240002,1.9694106323289458,False,True,True,False,2,True,DRAWDOWN_SHIFT
