Date,M2_Baseline_Anomaly,M2_Baseline_Score,M2_IF_Score,M2_IF_Training_Percentile
2022-03-01,NORMAL,0.1794451627249818,0.48023303382816834,0.9012244897959184
2022-03-02,NORMAL,0.40124500914977174,0.5092666281405206,0.9281632653061225
2022-03-03,NORMAL,0.14928213358595446,0.4770796115157793,0.8979591836734694
2022-03-04,NORMAL,0.418789799269296,0.5003658339319255,0.9216326530612244
2022-03-07,NORMAL,0.6308506061909639,0.5223833953885872,0.9395918367346939
2022-03-08,NORMAL,0.7168867049991839,0.5148980207798369,0.9338775510204081
2022-03-09,NORMAL,0.69374178264373,0.523035096089106,0.9395918367346939
2022-03-10,NORMAL,0.8866565281404679,0.5383187774773931,0.9461224489795919
2022-03-11,ANOMALOUS,2.633465876080528,0.5256325588316175,0.9395918367346939
2022-03-14,ANOMALOUS,2.432239576723758,0.469886375187667,0.8914285714285715
2022-03-15,ANOMALOUS,2.198310483820912,0.45657595718584604,0.8718367346938776
2022-03-16,ANOMALOUS,1.8921598648143,0.4452334191691689,0.8555102040816327
2022-03-17,ANOMALOUS,1.7586444597068078,0.43862589975346006,0.846530612244898
2022-03-18,NORMAL,0.18006256411435745,0.3768008995846804,0.5093877551020408
2022-03-21,NORMAL,0.20022887683353766,0.3665860412470043,0.3730612244897959
2022-03-22,NORMAL,0.17107593730735515,0.37284515800669954,0.46775510204081633
2022-03-23,NORMAL,0.28275440165107596,0.37707412380566624,0.5126530612244898
2022-03-24,NORMAL,0.16430141646106797,0.3735272872112709,0.4751020408163265
2022-03-25,NORMAL,0.09870286372780553,0.38688800305859045,0.6342857142857142
2022-03-28,NORMAL,0.14424596942293402,0.3994875515052877,0.7273469387755102
2022-03-29,NORMAL,0.8427758800033422,0.4138904898215209,0.7926530612244898
2022-03-30,NORMAL,0.4646399271130696,0.3646103532052638,0.34448979591836737
2022-03-31,NORMAL,0.4713007048743566,0.3625605251982739,0.30448979591836733
2022-04-01,NORMAL,0.475698647299679,0.36133098908864797,0.28816326530612246
2022-04-04,NORMAL,0.47514701438547,0.36103678283472773,0.28
2022-04-05,NORMAL,0.199259164644268,0.36920198781904395,0.4138775510204082
2022-04-06,NORMAL,0.09276292402935955,0.3713089475867242,0.4424489795918367
2022-04-07,NORMAL,0.1100822832652371,0.3688178805581594,0.4057142857142857
2022-04-08,NORMAL,0.11404334922729965,0.36692038494678225,0.37795918367346937
2022-04-11,NORMAL,0.2664559457457122,0.3640763482006458,0.3355102040816327
2022-04-12,NORMAL,0.23059392217856886,0.36409069101902375,0.3355102040816327
2022-04-13,NORMAL,0.23731096309530555,0.3569795096376401,0.19183673469387755
2022-04-14,NORMAL,0.20901258815329696,0.3595727149706327,0.2473469387755102
2022-04-15,NORMAL,0.2454639447990964,0.35336926363284904,0.12816326530612246
2022-04-18,NORMAL,0.1779181564649004,0.35284371398921144,0.11510204081632654
2022-04-19,NORMAL,0.09300569896002822,0.3772734499466984,0.5151020408163265
2022-04-20,NORMAL,0.097478336280094,0.3793066271310308,0.5461224489795918
2022-04-21,NORMAL,0.14452074137291582,0.3813409654147201,0.5624489795918367
2022-04-22,NORMAL,0.198642540138358,0.37417801768960807,0.48
2022-04-25,NORMAL,0.172906400629238,0.3750224286071353,0.4873469387755102
2022-04-26,NORMAL,0.204771732627006,0.3874537799082155,0.6375510204081632
2022-04-27,NORMAL,0.19361214378390798,0.3834737149496679,0.5918367346938775
2022-04-28,NORMAL,0.2586813235475199,0.3788047688712775,0.5371428571428571
2022-04-29,NORMAL,0.4505962571389434,0.38149120452568464,0.5657142857142857
2022-05-02,NORMAL,0.192508718112608,0.36727087973502925,0.3795918367346939
2022-05-03,NORMAL,0.6366985132919135,0.3877774343496533,0.6383673469387755
2022-05-04,NORMAL,0.39783297985156946,0.37466490747789516,0.4857142857142857
2022-05-05,NORMAL,0.7537966152158793,0.3873312676322204,0.636734693877551
2022-05-06,NORMAL,0.4992312999963529,0.36432414843535843,0.3404081632653061
2022-05-09,NORMAL,0.6221175015613369,0.38018357579050893,0.553469387755102
2022-05-10,NORMAL,0.594689866283827,0.3835167471295159,0.5918367346938775
2022-05-11,NORMAL,0.24848773649752295,0.3777410017260402,0.5183673469387755
2022-05-12,NORMAL,0.27875415179882945,0.37013481121442,0.4269387755102041
2022-05-13,NORMAL,0.34227873619735716,0.3823782730066049,0.5779591836734694
2022-05-16,NORMAL,0.2539244098052933,0.3773404117832905,0.5151020408163265
2022-05-17,ANOMALOUS,1.1646442653686664,0.44490370388739076,0.8555102040816327
2022-05-18,NORMAL,0.613328299058208,0.38392702309694,0.5967346938775511
2022-05-19,NORMAL,0.8153593994785538,0.40003679283173593,0.7306122448979592
2022-05-20,NORMAL,0.8763466426712735,0.386227742214998,0.6277551020408163
2022-05-23,NORMAL,0.8918440825260904,0.3875407915968968,0.6375510204081632
2022-05-24,NORMAL,0.43764034454211426,0.37290537205802426,0.46938775510204084
2022-05-25,NORMAL,0.7671411166033278,0.4116937014757796,0.7861224489795918
2022-05-26,NORMAL,0.6615909808577148,0.38913916318793734,0.6514285714285715
2022-05-27,NORMAL,0.8672340517245531,0.4035315067418664,0.7542857142857143
2022-05-30,NORMAL,0.8950451438692839,0.38976384204743314,0.6571428571428571
2022-05-31,NORMAL,0.8964053117309502,0.38937145153336483,0.6522448979591837
2022-06-01,NORMAL,0.6032919717496015,0.37436530139722146,0.48081632653061224
2022-06-02,NORMAL,0.6306643292389558,0.372183347539602,0.4555102040816327
2022-06-03,NORMAL,0.43426773268287844,0.37390385129966447,0.4791836734693877
2022-06-06,NORMAL,0.3985816326927563,0.3727552807187949,0.4669387755102041
2022-06-07,NORMAL,0.4954912033043786,0.380889384228183,0.5583673469387755
2022-06-08,NORMAL,0.7320928253024694,0.4308955488810919,0.8310204081632653
2022-06-09,NORMAL,0.7077673127370626,0.4082159844380317,0.7746938775510204
2022-06-10,NORMAL,0.8400565919054769,0.42638067178600364,0.8253061224489796
2022-06-13,NORMAL,0.8316981993876135,0.40848698918444365,0.7746938775510204
2022-06-14,NORMAL,0.860598037951061,0.40698980631468007,0.7673469387755102
2022-06-15,NORMAL,0.489704663380666,0.38692936343447865,0.6342857142857142
2022-06-16,NORMAL,0.4706824883269537,0.3792038558177742,0.5436734693877551
2022-06-17,NORMAL,0.3209358664326878,0.38158384952871877,0.566530612244898
2022-06-20,NORMAL,0.19342829328464484,0.38561129055352017,0.6179591836734694
2022-06-21,NORMAL,0.2071939832073117,0.3836321810758089,0.5926530612244898
