Date,M1_Regime_Code,M1_P_LOW,M1_P_ELEVATED,M1_P_STRESS
2021-02-17,Elevated-Volatility Transition,3.180893650465794e-08,0.9999654892519897,3.447893907399452e-05
2021-02-18,Elevated-Volatility Transition,1.0453072860117788e-07,0.999974965828745,2.4929640526393106e-05
2021-02-19,Elevated-Volatility Transition,4.1732597283641337e-07,0.9999804137952116,1.916887881604753e-05
2021-02-22,Elevated-Volatility Transition,3.7922111181263305e-06,0.9999814891981886,1.4718590692524462e-05
2021-02-23,Elevated-Volatility Transition,5.159665021243288e-07,0.9999927395090732,6.744524424468317e-06
2021-02-24,Elevated-Volatility Transition,1.6000643640968132e-06,0.999990557760842,7.842174793647132e-06
2021-02-25,Elevated-Volatility Transition,1.756880845518517e-16,0.9960906373466373,0.00390936265336184
2021-02-26,Elevated-Volatility Transition,1.115465473439812e-13,0.9992555365989666,0.0007444634009209609
2021-03-01,Elevated-Volatility Transition,1.5188016878903494e-16,0.9977545114847036,0.002245488515296417
2021-03-02,Elevated-Volatility Transition,3.1541866740685885e-14,0.9996276913676279,0.00037230863234061527
2021-03-03,Elevated-Volatility Transition,1.911824621518466e-15,0.9991378495215154,0.0008621504784819154
2021-03-04,Elevated-Volatility Transition,2.1890196169070455e-11,0.9999767522192313,2.324775887820149e-05
2021-03-05,Elevated-Volatility Transition,1.1266381195103925e-09,0.9999949950495243,5.003823837197076e-06
2021-03-08,Elevated-Volatility Transition,1.3029331742804396e-23,0.5322869868302976,0.46771301316970254
2021-03-09,High-Volatility Stress,2.579615739008321e-20,0.1353447038419506,0.8646552961580493
2021-03-10,High-Volatility Stress,2.2762706175589855e-19,0.034833239275951285,0.9651667607240489
2021-03-11,High-Volatility Stress,5.649285723146967e-17,0.08281024150529326,0.9171897584947059
2021-03-12,High-Volatility Stress,7.274630319616259e-20,0.01539829447122823,0.9846017055287717
2021-03-15,Elevated-Volatility Transition,3.689881468486068e-12,0.816859614555607,0.18314038544070294
2021-03-16,Elevated-Volatility Transition,9.306871986483316e-10,0.9992795842874769,0.000720414781835972
2021-03-17,Elevated-Volatility Transition,4.694593168889988e-08,0.9999916682514441,8.284802624584458e-06
