Date,USDTRY,,,Retrun_5D,Retrun_20D,Volatility_5D,Volatility_20D,Volatility_6D,MA_Distance_20D,MA_Distance_50D,MA_Slope_20D,Drawdown_60D
10/27/2017,3.7885,,,,,,,,,,,
10/30/2017,3.7798,,,,,,,,,,,
10/31/2017,3.792,,,,,,,,,,,
11/1/2017,3.813,,,,,,,,,,,
11/2/2017,3.7975,,,,,,,,,,,
11/3/2017,3.8864,,,,,,,,,,,
11/6/2017,3.828,,,,,,,,,,,
11/7/2017,3.8844,,,,,,,,,,,
11/8/2017,3.8665,,,,,,,,,,,
11/9/2017,3.8647,,,,,,,,,,,
11/10/2017,3.8636,,,,,,,,,,,
11/13/2017,3.8706,,,,,,,,,,,
11/14/2017,3.886,,,,,,,,,,,
11/15/2017,3.8811,,,,,,,,,,,
11/16/2017,3.8629,,,,,,,,,,,
11/17/2017,3.8773,,,,,,,,,,,
11/20/2017,3.9285,,,,,,,,,,,
11/21/2017,3.9566,,,,,,,,,,,
11/22/2017,3.9184,,,,,,,,,,,
11/23/2017,3.9201,,,,,,,,,,,
11/24/2017,3.9437,,,,,,,,,,,
11/27/2017,3.9062,,,,,,,,,,,
11/28/2017,3.9645,,,,,,,,,,,
11/29/2017,3.9613,,,,,,,,,,,
11/30/2017,3.919,,,,,,,,,,,
12/1/2017,3.9131,,,,,,,,,,,
12/4/2017,3.8742,,,,,,,,,,,
12/5/2017,3.8444,,,,,,,,,,,
12/6/2017,3.8506,,,,,,,,,,,
12/7/2017,3.8631,,,,,,,,,,,
12/8/2017,3.8388,,,,,,,,,,,
12/11/2017,3.8367,,,,,,,,,,,
12/12/2017,3.8479,,,,,,,,,,,
12/13/2017,3.8119,,,,,,,,,,,
12/14/2017,3.8869,,,,,,,,,,,
12/15/2017,3.8617,,,,,,,,,,,
12/18/2017,3.83,,,,,,,,,,,
12/19/2017,3.8336,,,,,,,,,,,
12/20/2017,3.8203,,,,,,,,,,,
12/21/2017,3.8175,,,,,,,,,,,
12/22/2017,3.8157,,,,,,,,,,,
12/25/2017,3.8074,,,,,,,,,,,
12/26/2017,3.812,,,,,,,,,,,
12/27/2017,3.8156,,,,,,,,,,,
12/28/2017,3.7749,,,,,,,,,,,
12/29/2017,3.79,,,,,,,,,,,
1/1/2018,3.7875,,,,,,,,,,,
1/2/2018,3.7667,,,,,,,,,,,
1/3/2018,3.7812,,,,,,,,,,,
1/4/2018,3.748,,,,,,,,,,,
1/5/2018,3.7367,,,,,,,,,,,
1/8/2018,3.7443,,,,,,,,,,,
1/9/2018,3.7679,,,,,,,,,,,
1/10/2018,3.7994,,,,,,,,,,,
1/11/2018,3.7741,,,,,,,,,,,
1/12/2018,3.7483,,,,,,,,,,,
1/15/2018,3.8007,,,,,,,,,,,
1/16/2018,3.798,,,,,,,,,,,
1/17/2018,3.8182,,,,,,,,,,,
1/18/2018,3.7701,,,,,,,,,,,
1/19/2018,3.8065,,,,,,,,,,,
1/22/2018,3.775,,,,,,,,,,,
1/23/2018,3.7673,,,,,,,,,,,
1/24/2018,3.7384,,,,,,,,,,,
1/25/2018,3.7525,,,,,,,,,,,
1/26/2018,3.7548,,,,,,,,,,,
1/29/2018,3.7934,,,,,,,,,,,
